review_id,product,rating,text,date
R000001,Refill Pack,4,Love the Refill Pack — works exactly as described.,2024-12-27
R000002,Doodad Max,4,Love the Doodad Max — setup was quick.,2025-11-25
R000003,Service Plan,4,Love the Service Plan — great value for the price.,2024-09-09
R000004,Gizmo Air,1,Disappointed with the Gizmo Air — support never followed up.,2025-09-28
R000005,Refill Pack,4,Love the Refill Pack — great value for the price.,2024-04-19
R000006,Widget Mini,5,Love the Widget Mini — shipping was fast.,2024-08-29
R000007,Widget Mini,4,Love the Widget Mini — the packaging was excellent.,2025-02-16
R000008,Gizmo Plus,5,Love the Gizmo Plus — great value for the price.,2025-10-11
R000009,Starter Kit,4,Love the Starter Kit — setup was quick.,2025-11-04
R000010,Widget Mini,3,The Widget Mini is okay — average quality.,2024-10-23
R000011,Doodad Max,5,Love the Doodad Max — setup was quick.,2025-09-11
R000012,Gizmo Plus,1,Disappointed with the Gizmo Plus — not worth the price.,2024-11-10
R000013,Doodad Lite,5,Love the Doodad Lite — the quality feels premium.,2025-08-16
R000014,Service Plan,4,Love the Service Plan — shipping was fast.,2024-12-11
R000015,Doodad Max,5,Love the Doodad Max — setup was quick.,2025-04-14
R000016,Widget Pro,4,Love the Widget Pro — the quality feels premium.,2025-12-07
R000017,Doodad Max,2,Disappointed with the Doodad Max — stopped working after a week.,2024-11-29
R000018,Doodad Max,1,Disappointed with the Doodad Max — stopped working after a week.,2025-10-25
R000019,Widget Mini,3,The Widget Mini is okay — average quality.,2025-12-16
R000020,Premium Bundle,5,Love the Premium Bundle — customer support was helpful.,2024-09-05
R000021,Refill Pack,4,Love the Refill Pack — the packaging was excellent.,2025-08-10
R000022,Gizmo Plus,4,Love the Gizmo Plus — the packaging was excellent.,2024-03-22
R000023,Refill Pack,3,"The Refill Pack is okay — nothing special, but fine.",2024-07-05
R000024,Starter Kit,5,Love the Starter Kit — works exactly as described.,2024-08-31
R000025,Starter Kit,5,Love the Starter Kit — great value for the price.,2025-11-12
R000026,Doodad Max,4,Love the Doodad Max — works exactly as described.,2024-05-01
R000027,Doodad Max,4,Love the Doodad Max — shipping was fast.,2024-04-13
R000028,Refill Pack,3,The Refill Pack is okay — average quality.,2025-08-24
R000029,Refill Pack,1,Disappointed with the Refill Pack — arrived damaged.,2025-01-20
R000030,Starter Kit,4,Love the Starter Kit — the packaging was excellent.,2025-08-30
R000031,Refill Pack,3,The Refill Pack is okay — instructions could be clearer.,2024-11-20
R000032,Refill Pack,4,Love the Refill Pack — works exactly as described.,2025-02-07
R000033,Gizmo Air,5,Love the Gizmo Air — works exactly as described.,2024-02-08
R000034,Premium Bundle,3,The Premium Bundle is okay — it met my expectations.,2025-06-11
R000035,Doodad Lite,4,Love the Doodad Lite — great value for the price.,2025-08-03
R000036,Service Plan,1,Disappointed with the Service Plan — the fit was off.,2025-10-09
R000037,Doodad Lite,4,Love the Doodad Lite — setup was quick.,2025-12-09
R000038,Gizmo Plus,2,Disappointed with the Gizmo Plus — missing a key part.,2024-06-30
R000039,Doodad Lite,5,Love the Doodad Lite — customer support was helpful.,2024-09-28
R000040,Refill Pack,5,Love the Refill Pack — customer support was helpful.,2024-06-21
R000041,Doodad Lite,5,Love the Doodad Lite — the quality feels premium.,2024-10-15
R000042,Refill Pack,5,Love the Refill Pack — the quality feels premium.,2024-12-15
R000043,Doodad Max,5,Love the Doodad Max — setup was quick.,2026-01-12
R000044,Starter Kit,5,Love the Starter Kit — customer support was helpful.,2024-06-11
R000045,Gizmo Plus,4,Love the Gizmo Plus — the packaging was excellent.,2025-08-21
R000046,Widget Pro,3,The Widget Pro is okay — average quality.,2024-12-16
R000047,Widget Pro,3,"The Widget Pro is okay — nothing special, but fine.",2024-10-07
R000048,Doodad Lite,5,Love the Doodad Lite — works exactly as described.,2024-05-17
R000049,Starter Kit,4,Love the Starter Kit — great value for the price.,2025-03-25
R000050,Doodad Max,1,Disappointed with the Doodad Max — the fit was off.,2025-08-30
R000051,Widget Mini,3,"The Widget Mini is okay — nothing special, but fine.",2026-01-30
R000052,Premium Bundle,1,Disappointed with the Premium Bundle — quality control seems inconsistent.,2025-05-14
R000053,Gizmo Air,5,Love the Gizmo Air — the quality feels premium.,2025-03-19
R000054,Service Plan,5,Love the Service Plan — great value for the price.,2024-04-06
R000055,Doodad Max,5,Love the Doodad Max — shipping was fast.,2025-05-09
R000056,Service Plan,4,Love the Service Plan — shipping was fast.,2025-06-10
